SARGAM NOTATION — MELODIC-FIDELITY CANDIDATE (self_improve_melody.py)
==============================================================================
Sa = 96.9500 Hz
Confidence = 0.5917  Gap = 0.0576s  Min duration = 0.0061s
Post-process: median_window=1  min_keep=0.0096s  bridge=0.0122s/0.1140s
Melody score = 0.94166  pitch=0.8835 coverage=1.0000 swara=0.9925 rest=1.0000
Mean abs cents = 25.6  Total notes: 13103

KEY:
  S=Sa  R=Re(sh) r=Re(ko)  G=Ga(sh) g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh) d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = one taar octave; '' = two taar octaves; . = one mandra octave; .. = two mandra octaves

FORMAT: [MM:SS.ss]  note  duration  full_name
==============================================================================

--- Minute 00 ---
  [00:41.09]  G'      0.190s   Ga shuddh — taar saptak
  [00:41.28]  g'      0.090s   Ga komal — taar saptak
  [00:41.37]  R'      0.120s   Re shuddh — taar saptak
  [00:41.71]  M'      0.010s   Ma shuddh — taar saptak
  [00:41.73]  M+'     0.040s   Ma tivra — taar saptak
  [00:41.78]  M'      0.010s   Ma shuddh — taar saptak
  [00:41.79]  G'      0.040s   Ga shuddh — taar saptak
  [00:41.83]  M'      0.090s   Ma shuddh — taar saptak
  [00:42.16]  S'      0.030s   Sa — taar saptak
  [00:42.33]  S'      0.010s   Sa — taar saptak
  [00:42.43]  S'      0.130s   Sa — taar saptak
  [00:42.90]  n'      0.070s   Ni komal — taar saptak
  [00:43.00]  d'      0.020s   Dha komal — taar saptak
  [00:43.04]  n'      0.070s   Ni komal — taar saptak
  [00:43.22]  S'      0.110s   Sa — taar saptak
  [00:43.33]  N       0.050s   Ni shuddh — madhya saptak
  [00:43.42]  G'      0.010s   Ga shuddh — taar saptak
  [00:43.43]  M'      0.210s   Ma shuddh — taar saptak
  [00:43.64]  G'      0.090s   Ga shuddh — taar saptak
  [00:43.73]  M'      0.580s   Ma shuddh — taar saptak
  [00:44.31]  G'      0.050s   Ga shuddh — taar saptak
  [00:44.36]  M'      0.020s   Ma shuddh — taar saptak
  [00:44.38]  M+'     0.050s   Ma tivra — taar saptak
  [00:44.46]  R'      0.400s   Re shuddh — taar saptak
  [00:44.88]  S'      0.020s   Sa — taar saptak
  [00:44.90]  r'      0.020s   Re komal — taar saptak
  [00:44.95]  M'      0.020s   Ma shuddh — taar saptak
  [00:44.97]  M+'     0.020s   Ma tivra — taar saptak
  [00:44.99]  M'      0.010s   Ma shuddh — taar saptak
  [00:45.01]  G'      0.030s   Ga shuddh — taar saptak
